Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,8.0119E-17,-2.0531E-17,-1.5689E-05,0,0,0,0.31685,0.00024197,-1.8731E-07,-7.1634E-22,0.00046096,1.6138E-21,0.00064903,0,0,0,0,0,0,package://ASM-1/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASM-1/meshes/base.STL,,Base-1,坐标系19,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1-1,-5.0235E-05,0.033,-5.0235E-05,0,0,0,0.019731,9.7709E-06,2.916E-08,1.2047E-19,1.2373E-05,-2.916E-08,9.7709E-06,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-1.STL,,Leg1-1-1,坐标系1,基准轴1,joint1-1,revolute,0.12051,0.065506,0,0,0,-0.7854,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link2-1,2.7756E-17,0.047,0.00065737,0,0,0,0.073611,1.2766E-05,1.5138E-08,-9.573E-22,1.3909E-05,-1.8249E-23,2.1644E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-1.STL,,Leg2-1-1,坐标系7,基准轴7,joint2-1,revolute,0,0.066,0,0,0,0,Empty_Link1-1,1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3-1,4.9997E-05,0.090046,0.010444,0,0,0,0.042552,2.1042E-05,-7.5974E-12,3.4741E-12,8.3412E-06,-7.4831E-07,2.4944E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-1.STL,,Leg3-1-1,坐标系13,基准轴13,joint3-1,revolute,0,0.094,0,-1.5708,0,0,Empty_Link2-1,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link1-2,-5.02346878693202E-05,0.0330000000000001,-5.02346878692717E-05,0,0,0,0.019731071348658,9.77086440607924E-06,2.91599083472466E-08,1.24805402960545E-19,1.23734036568865E-05,-2.91599083472444E-08,9.77086440607927E-06,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-2.STL,,Leg1-2-1,坐标系2,基准轴2,joint1-2,revolute,0,0.116,0,0,0,0,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link2-2,2.25108720576213E-05,0.047,0.000657512135363084,0,0,0,0.073610808678494,1.27657759015739E-05,-7.04369358369001E-22,-2.65935038353795E-23,1.39088073615343E-05,-3.63365746503431E-11,2.1644430327163E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-2.STL,,Leg2-2-1,坐标系8,基准轴8,joint2-2,revolute,0,0.066,0,0,0,0,Empty_Link1-2,1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3-2,4.99966505388746E-05,0.0900463291127983,0.010443724929981,0,0,0,0.0425517560330798,2.10424480932041E-05,-7.60273567051125E-12,3.4765113891799E-12,8.34117266397958E-06,-7.48309280558835E-07,2.49437221252634E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-2.STL,,Leg3-2-1,坐标系14,基准轴14,joint3-2,revolute,0,0.094,0,-1.5708,0,0,Empty_Link2-2,1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link1-3,-5.02346878681059E-05,0.033,-5.02346878692821E-05,0,0,0,0.019731071348658,9.77086440607927E-06,2.91599083472445E-08,1.26921613444854E-19,1.23734036568865E-05,-2.91599083472381E-08,9.77086440607927E-06,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-3.STL,,Leg1-3-1,坐标系3,基准轴3,joint1-3,revolute,-0.12051,0.065506,0,0,0,0.7854,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link2-3,-2.25108720576517E-05,0.047,0.000657512135363084,0,0,0,0.0736108086784939,1.27657759015739E-05,-8.470329472543E-22,-8.4848217770916E-22,1.39088073615343E-05,3.63365746501307E-11,2.1644430327163E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-3.STL,,Leg2-3-1,坐标系9,基准轴9,joint2-3,revolute,0,0.066,0,0,0,0,Empty_Link1-3,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3-3,4.99966688655984E-05,0.0900463290285191,0.0104437249548177,0,0,0,0.0425517554776166,2.10424480740807E-05,-7.59739057597617E-12,3.47413320408595E-12,8.34117254759515E-06,-7.48309278499939E-07,2.49437219866352E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-3.STL,,Leg3-3-1,坐标系15,基准轴15,joint3-3,revolute,0,0.094,0,-1.5708,0,0,Empty_Link2-3,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link1-4,-5.02346878693341E-05,0.0329999999999999,-5.02346878692751E-05,0,0,0,0.019731071348658,9.77086440607928E-06,2.91599083472385E-08,1.25175842968173E-19,1.23734036568865E-05,-2.91599083472377E-08,9.77086440607929E-06,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-4.STL,,Leg1-4-1,坐标系4,基准轴4,joint1-4,revolute,-0.12051,-0.065506,0,0,0,2.3562,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link2-4,-4.16333634234434E-17,0.047,0.000657371115648689,0,0,0,0.0736108086784939,1.27657759015739E-05,1.5137622231201E-08,-3.00289212737499E-22,1.39088073615343E-05,9.0877177035597E-22,2.1644430327163E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-4.STL,,Leg2-4-1,坐标系10,基准轴10,joint2-4,revolute,0,0.066,0,0,0,0,Empty_Link1-4,1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3-4,4.99966688654874E-05,0.0900463290285193,0.0104437249548173,0,0,0,0.0425517554776168,2.10424480740807E-05,-7.59739058801992E-12,3.47413320832111E-12,8.3411725475952E-06,-7.48309278499937E-07,2.49437219866352E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-4.STL,,Leg3-4-1,坐标系16,基准轴16,joint3-4,revolute,0,0.094,0,-1.5708,0,0,Empty_Link2-4,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link1-5,-5.02346878692846E-05,0.033,-5.02346878692612E-05,0,0,0,0.019731071348658,9.77086440607928E-06,2.91599083472416E-08,1.2460847700495E-19,1.23734036568865E-05,-2.91599083472407E-08,9.77086440607927E-06,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-5.STL,,Leg1-5-1,坐标系5,基准轴5,joint1-5,revolute,0,-0.116,0,0,0,-3.1416,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link2-5,-2.25108720578158E-05,0.047,0.000657512135363084,0,0,0,0.0736108086784939,1.27657759015739E-05,1.14572117382462E-21,2.33601504355852E-21,1.39088073615343E-05,3.63365746527667E-11,2.1644430327163E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-5.STL,,Leg2-5-1,坐标系11,基准轴11,joint2-5,revolute,0,0.066,0,0,0,0,Empty_Link1-5,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3-5,4.99966505387937E-05,0.0900463291127983,0.0104437249299811,0,0,0,0.0425517560330798,2.10424480932041E-05,-7.6027356652029E-12,3.47651138429731E-12,8.34117266397957E-06,-7.48309280558843E-07,2.49437221252633E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-5.STL,,Leg3-5-1,坐标系17,基准轴17,joint3-5,revolute,0,0.094,0,-1.5708,0,0,Empty_Link2-5,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link1-6,-5.02346878693063E-05,0.0330000000000002,-5.02346878692612E-05,0,0,0,0.019731071348658,9.77086440607926E-06,2.9159908347244E-08,1.25162983602224E-19,1.23734036568865E-05,-2.91599083472426E-08,9.77086440607926E-06,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link1-6.STL,,Leg1-6-1,坐标系6,基准轴6,joint1-6,revolute,0.12051,-0.065506,0,0,0,-2.3562,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link2-6,-2.25108720576656E-05,0.047,0.000657512135363084,0,0,0,0.0736108086784939,1.27657759015739E-05,-8.470329472543E-22,1.06896458574625E-21,1.39088073615343E-05,3.63365746510252E-11,2.1644430327163E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link2-6.STL,,Leg2-6-1,坐标系12,基准轴12,joint2-6,revolute,0,0.066,0,0,0,0,Empty_Link1-6,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3-6,4.99966688657094E-05,0.0900463290285193,0.0104437249548177,0,0,0,0.0425517554776167,2.10424480740807E-05,-7.59739058626184E-12,3.47413321001518E-12,8.34117254759518E-06,-7.48309278499955E-07,2.49437219866352E-05,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM-1/meshes/Empty_Link3-6.STL,,Leg3-6-1,坐标系18,基准轴18,joint3-6,revolute,0,0.094,0,-1.5708,0,0,Empty_Link2-6,-1,0,0,0,0,-1.57,1.57,,,,,,,,
